timestamp,event_type,topic,detail
2026-05-03T23:01:55.151391,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824114346}"
2026-05-03T23:02:00.529327,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824120646}"
2026-05-03T23:02:05.749930,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.12,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824125946}"
2026-05-03T23:02:11.176888,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.12,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824131366}"
2026-05-03T23:02:16.350210,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824136546}"
2026-05-03T23:02:21.652762,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824141846}"
2026-05-03T23:02:26.955995,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.08,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824146146}"
2026-05-03T23:02:32.254715,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.14,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824152446}"
2026-05-03T23:02:37.551671,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.14,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824157746}"
2026-05-03T23:02:42.852944,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":226,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824162046}"
2026-05-03T23:02:48.147475,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.10,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824168346}"
2026-05-03T23:02:53.456543,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824173646}"
2026-05-03T23:02:58.748997,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.10,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824178946}"
2026-05-03T23:03:04.056771,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824184246}"
2026-05-03T23:03:09.351197,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824189546}"
2026-05-03T23:03:14.779825,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824194960}"
2026-05-03T23:03:19.956834,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824199147}"
2026-05-03T23:03:25.251385,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.08,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824204446}"
2026-05-03T23:03:30.555959,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824209746}"
2026-05-03T23:03:35.861892,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.13,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824215046}"
2026-05-03T23:03:41.154225,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.10,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824220347}"
2026-05-03T23:03:46.450055,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.16,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824225646}"
2026-05-03T23:03:51.749706,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824231946}"
2026-05-03T23:03:57.061520,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.07,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824236246}"
2026-05-03T23:04:02.351134,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.12,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":232,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824241546}"
2026-05-03T23:04:07.655513,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.07,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824246847}"
2026-05-03T23:04:12.953580,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824252147}"
2026-05-03T23:04:18.356085,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824258546}"
2026-05-03T23:04:23.554083,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":232,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824263746}"
2026-05-03T23:04:28.856099,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.07,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824268046}"
2026-05-03T23:04:34.153358,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.08,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824273345}"
2026-05-03T23:04:39.467092,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.13,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824279646}"
2026-05-03T23:04:44.755285,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.13,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824284946}"
2026-05-03T23:04:50.085433,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.14,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824289246}"
2026-05-03T23:04:55.358306,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824295546}"
2026-05-03T23:05:00.661804,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.10,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824300846}"
2026-05-03T23:05:05.962074,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.07,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824305147}"
2026-05-03T23:05:05.983011,SEND_ACTION,hidroponik/action,6:824305
2026-05-03T23:05:09.756467,RECV_STATUS,hidroponik/status,"{""status"":""DONE"",""tx"":""824305"",""ts"":1777824309192}"
2026-05-03T23:05:11.256536,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.03,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824311446}"
2026-05-03T23:05:16.558653,RECV_SENSOR,hidroponik/sensor,"{""ph"":5.99,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":224,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824316746}"
2026-05-03T23:05:21.967929,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.01,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":225,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978496136}"
2026-05-03T23:05:27.160073,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.10,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":225,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978501346}"
2026-05-03T23:05:32.458211,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.10,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978506646}"
2026-05-03T23:05:37.759118,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.08,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":226,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978511946}"
2026-05-03T23:05:43.057495,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.06,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":224,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978517246}"
2026-05-03T23:05:48.359226,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.07,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978522546}"
2026-05-03T23:05:53.713381,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.08,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978527846}"
2026-05-03T23:05:58.958244,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.13,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":225,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978533146}"
2026-05-03T23:06:04.288515,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":226,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978538446}"
2026-05-03T23:06:09.570961,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":226,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978543746}"
2026-05-03T23:06:14.859874,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":226,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978549046}"
2026-05-03T23:06:20.157329,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.12,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":226,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":2085978554346}"
2026-05-03T23:06:25.508707,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824385696}"
2026-05-03T23:06:30.764871,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.17,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824390946}"
2026-05-03T23:06:36.056403,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.18,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824395246}"
2026-05-03T23:06:41.362737,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.13,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824400547}"
